iter	Passed	Remaining
0	0	55
1	1	50
2	1	48
3	1	43
4	2	43
5	2	43
6	3	42
7	3	41
8	4	41
9	4	40
10	5	40
11	5	40
12	5	39
13	6	39
14	7	40
15	7	40
16	8	39
17	8	39
18	9	39
19	9	39
20	10	39
21	11	39
22	11	38
23	12	38
24	12	38
25	13	37
26	13	37
27	14	37
28	15	36
29	15	36
30	16	36
31	16	35
32	17	35
33	18	34
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	32
40	22	31
41	22	30
42	23	30
43	23	30
44	24	29
45	25	29
46	25	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	30	25
54	30	24
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	54	2
96	55	1
97	55	1
98	56	0
99	56	0
